,indicator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
98,-1,148.257016896,148.605950766,148.91500648,148.296895052,148.247047357,148.276955974,148.137382426,149.174314194,148.91500648,148.80534155,148.337770163,148.456407679,148.68072231,148.895067402,149.712569614,149.563026526,149.553056987,149.533117909,149.572996065,151.237909105
99,0,145.415698234,145.405728695,145.276124686,145.34591146,145.355880999,145.854357957,145.744693027,145.575210861,146.053748741,143.013039296,144.598196023,145.186398833,144.777647728,145.550287013,145.695842285,145.944183505,145.006947128,144.727899727,144.757708649,144.438683396
100,1,143.56136395,144.000023673,144.50847017,144.887312659,145.724753948,146.53727139,147.349888527,147.592248024,147.698722703,146.322926298,145.415698234,145.405728695,145.276124686,145.34591146,145.355880999,145.854357957,145.744693027,145.575210861,146.053748741,143.013039296
101,0,145.041840516,145.969007658,144.877343119,144.463607244,144.558317866,144.544958684,144.329018465,144.667982797,143.621181185,143.56136395,144.000023673,144.50847017,144.887312659,145.724753948,146.53727139,147.349888527,147.592248024,147.698722703,146.322926298,145.415698234
102,-1,144.623119871,144.707860954,145.041840516,145.969007658,144.877343119,144.463607244,144.558317866,144.544958684,144.329018465,144.667982797,143.621181185,143.56136395,144.000023673,144.50847017,144.887312659,145.724753948,146.53727139,147.349888527,147.592248024,147.698722703
103,0,145.375820078,145.545302243,143.880389203,144.623119871,144.707860954,145.041840516,145.969007658,144.877343119,144.463607244,144.558317866,144.544958684,144.329018465,144.667982797,143.621181185,143.56136395,144.000023673,144.50847017,144.887312659,145.724753948,146.53727139
104,1,146.54225616,146.332895837,145.186398833,145.415698234,145.535332704,145.375820078,145.545302243,143.880389203,144.623119871,144.707860954,145.041840516,145.969007658,144.877343119,144.463607244,144.558317866,144.544958684,144.329018465,144.667982797,143.621181185,143.56136395
105,0,145.914175192,145.749976882,145.904205653,145.625058557,145.654967174,145.545302243,145.455576391,145.026886207,145.066764363,144.996977589,145.256185608,144.418744318,145.325972382,146.41265215,146.801464178,145.34591146,146.397697842,147.0108245,146.582134316,146.572164777
106,-1,145.10664252,145.445606852,145.914175192,145.749976882,145.904205653,145.625058557,145.654967174,145.545302243,145.455576391,145.026886207,145.066764363,144.996977589,145.256185608,144.418744318,145.325972382,146.41265215,146.801464178,145.34591146,146.397697842,147.0108245
107,0,136.313508978,135.904757872,135.994483725,135.476067688,135.236798749,135.635580315,137.320432434,136.17393543,135.93466649,136.104148656,137.298300057,137.953498171,138.516777133,138.606502986,138.546685751,138.536716212,138.596533447,137.609549069,137.749122618,138.028269714
108,1,136.642503771,137.180858885,136.911681328,139.104880248,139.63336552,139.573548285,138.706198377,139.214644875,138.736106995,138.825832847,138.775985151,138.656350682,138.726137456,138.716167917,136.802016397,136.433143448,136.383295752,136.313508978,136.602625614,134.533946238
109,0,137.589609991,137.021346259,137.031315798,137.011277024,137.160919807,137.290523816,137.041285337,136.482991144,136.642503771,137.180858885,136.911681328,139.104880248,139.63336552,139.573548285,138.706198377,139.214644875,138.736106995,138.825832847,138.775985151,138.656350682
110,-1,141.966237684,141.667151509,141.966237684,140.366126648,138.627339323,138.885650082,138.394650278,137.589609991,137.021346259,137.031315798,137.011277024,137.160919807,137.290523816,137.041285337,136.482991144,136.642503771,137.180858885,136.911681328,139.104880248,139.63336552
111,0,141.547517039,142.00611584,141.946298605,141.986176762,141.966237684,141.667151509,141.966237684,140.366126648,138.627339323,138.885650082,138.394650278,137.589609991,137.021346259,137.031315798,137.011277024,137.160919807,137.290523816,137.041285337,136.482991144,136.642503771
112,1,141.437852108,141.547517039,142.00611584,141.946298605,141.986176762,141.966237684,141.667151509,141.966237684,140.366126648,138.627339323,138.885650082,138.394650278,137.589609991,137.021346259,137.031315798,137.011277024,137.160919807,137.290523816,137.041285337,136.482991144
